Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuites_2,Firefox 64.0,,2019-02-04 15:32:53,2019-02-04 15:35:01,2m - 8.120s,FAILED
,,,,,,
Test Cases/Registration_Page/Email_Registration/1.2/verify_user_signin_email_account,Firefox 64.0,,2019-02-04 15:32:53,2019-02-04 15:34:56,2m - 2.193s,FAILED
"openBrowser("""")",Firefox 64.0,,2019-02-04 15:32:54,2019-02-04 15:33:58,1m - 3.891s,PASSED
maximizeWindow(),Firefox 64.0,,2019-02-04 15:33:58,2019-02-04 15:33:59,1.265s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Firefox 64.0,,2019-02-04 15:33:59,2019-02-04 15:34:10,11.008s,PASSED
"click(findTestObject(""Email_Registration/1.1/Page_Home - ADX Asia/li_Sign In""))",Firefox 64.0,,2019-02-04 15:34:10,2019-02-04 15:34:13,3.118s,PASSED
"setText(findTestObject(""Email_Registration/1.1/Page_Home - ADX Asia/input_email""), ""mulkimul16@gmail.com"")",Firefox 64.0,,2019-02-04 15:34:13,2019-02-04 15:34:18,4.563s,PASSED
"setEncryptedText(findTestObject(""Email_Registration/1.1/Page_Home - ADX Asia/input_Email_error""), ""mn5hRviTc1hO3f41WUkJsA=="")",Firefox 64.0,,2019-02-04 15:34:18,2019-02-04 15:34:22,3.633s,PASSED
"click(findTestObject(""Email_Registration/1.1/Page_Home - ADX Asia/button_Sign in""))",Firefox 64.0,,2019-02-04 15:34:22,2019-02-04 15:34:24,2.631s,PASSED
"click(findTestObject(""Email_Registration/1.2/Page_Home - ADX Asia/button_Sign in with Google""))",Firefox 64.0,,2019-02-04 15:34:24,2019-02-04 15:34:27,2.911s,PASSED
delay(2),Firefox 64.0,,2019-02-04 15:34:27,2019-02-04 15:34:29,2.224s,PASSED
"switchToWindowTitle(""Masuk - Akun Google"", STOP_ON_FAILURE)",Firefox 64.0,,2019-02-04 15:34:29,2019-02-04 15:34:35,5.163s,PASSED
"setText(findTestObject(""Email_Registration/1.2/Page_Masuk - Akun Google/input_gmail_account""), ""mulkimul16@gmail.com"")",Firefox 64.0,,2019-02-04 15:34:35,2019-02-04 15:34:39,4.401s,PASSED
"click(findTestObject(""Email_Registration/1.2/Page_Masuk - Akun Google/span_Berikutnya""))",Firefox 64.0,,2019-02-04 15:34:39,2019-02-04 15:34:41,2.461s,PASSED
"setEncryptedText(findTestObject(""Email_Registration/1.2/Page_Masuk - Akun Google/input_password""), ""14n9+UJqs0woiBvwapmKLg=="")",Firefox 64.0,,2019-02-04 15:34:41,2019-02-04 15:34:45,3.267s,PASSED
"click(findTestObject(""Email_Registration/1.2/Page_Masuk - Akun Google/span_Berikutnya""))",Firefox 64.0,,2019-02-04 15:34:45,2019-02-04 15:34:49,4.052s,PASSED
waitForPageLoad(3),Firefox 64.0,,2019-02-04 15:34:49,2019-02-04 15:34:53,4.430s,FAILED
