Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuites_2,Chrome 71.0.3578.98,,2019-02-01 18:46:03,2019-02-01 18:51:48,5m - 44.543s,FAILED
,,,,,,
Test Cases/Registration_Page/Email_Registration/1.2/verify_user_signin_email_account,Chrome 71.0.3578.98,,2019-02-01 18:46:04,2019-02-01 18:51:45,5m - 40.638s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-01 18:46:04,2019-02-01 18:47:21,1m - 16.285s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-01 18:47:21,2019-02-01 18:47:28,7.191s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Chrome 71.0.3578.98,,2019-02-01 18:47:28,2019-02-01 18:49:30,2m - 1.684s,PASSED
"click(findTestObject(""1.1/Page_Home - ADX Asia/li_Sign In""))",Chrome 71.0.3578.98,,2019-02-01 18:49:30,2019-02-01 18:49:58,28.789s,PASSED
"setText(findTestObject(""1.1/Page_Home - ADX Asia/input_email""), ""mulkimul16@gmail.com"")",Chrome 71.0.3578.98,,2019-02-01 18:49:58,2019-02-01 18:50:14,15.381s,PASSED
"setEncryptedText(findTestObject(""1.1/Page_Home - ADX Asia/input_Email_error""), ""mn5hRviTc1hO3f41WUkJsA=="")",Chrome 71.0.3578.98,,2019-02-01 18:50:14,2019-02-01 18:50:20,6.712s,PASSED
"click(findTestObject(""1.1/Page_Home - ADX Asia/button_Sign in""))",Chrome 71.0.3578.98,,2019-02-01 18:50:20,2019-02-01 18:50:26,5.496s,PASSED
"click(findTestObject(""1.2/Page_Home - ADX Asia/button_Sign in with Google""))",Chrome 71.0.3578.98,,2019-02-01 18:50:26,2019-02-01 18:50:39,12.615s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-01 18:50:39,2019-02-01 18:50:41,2.850s,PASSED
"switchToWindowTitle(""Masuk - Akun Google"", STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-01 18:50:41,2019-02-01 18:51:20,38.968s,PASSED
"setText(findTestObject(""1.2/Page_Masuk - Akun Google/input_gmail_account""), ""mulkimul16@gmail.com"")",Chrome 71.0.3578.98,,2019-02-01 18:51:20,2019-02-01 18:51:28,7.413s,PASSED
"click(findTestObject(""1.2/Page_Masuk - Akun Google/span_Berikutnya""))",Chrome 71.0.3578.98,,2019-02-01 18:51:28,2019-02-01 18:51:31,2.791s,PASSED
"setEncryptedText(findTestObject(""1.2/Page_Masuk - Akun Google/input_password""), ""14n9+UJqs0woiBvwapmKLg=="")",Chrome 71.0.3578.98,,2019-02-01 18:51:31,2019-02-01 18:51:34,3.229s,PASSED
"click(findTestObject(""1.2/Page_Masuk - Akun Google/span_Berikutnya""))",Chrome 71.0.3578.98,,2019-02-01 18:51:34,2019-02-01 18:51:36,2.166s,PASSED
waitForPageLoad(3),Chrome 71.0.3578.98,,2019-02-01 18:51:36,2019-02-01 18:51:42,5.976s,FAILED
