Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite_1,Chrome 71.0.3578.98,,2019-02-01 18:54:42,2019-02-01 18:55:24,42.890s,PASSED
,,,,,,
Test Cases/Registration_Page/Email_Registration/1.1/verify_user_signin_gmail_account,Chrome 71.0.3578.98,,2019-02-01 18:54:42,2019-02-01 18:55:24,42.525s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-01 18:54:43,2019-02-01 18:54:55,12.164s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-01 18:54:55,2019-02-01 18:54:57,2.174s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Chrome 71.0.3578.98,,2019-02-01 18:54:57,2019-02-01 18:55:04,7.009s,PASSED
"click(findTestObject(""1.1/Page_Home - ADX Asia/li_Sign In""))",Chrome 71.0.3578.98,,2019-02-01 18:55:04,2019-02-01 18:55:08,4.196s,PASSED
"setText(findTestObject(""1.1/Page_Home - ADX Asia/input_email""), ""mulkimul@gmail.com"")",Chrome 71.0.3578.98,,2019-02-01 18:55:08,2019-02-01 18:55:13,5.078s,PASSED
"setEncryptedText(findTestObject(""1.1/Page_Home - ADX Asia/input_Email_error""), ""mn5hRviTc1hO3f41WUkJsA=="")",Chrome 71.0.3578.98,,2019-02-01 18:55:13,2019-02-01 18:55:17,3.488s,PASSED
"click(findTestObject(""1.1/Page_Home - ADX Asia/button_Sign in""))",Chrome 71.0.3578.98,,2019-02-01 18:55:17,2019-02-01 18:55:19,2.259s,PASSED
waitForPageLoad(3),Chrome 71.0.3578.98,,2019-02-01 18:55:19,2019-02-01 18:55:20,1.303s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-02-01 18:55:20,2019-02-01 18:55:22,1.816s,PASSED
