Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_ValidatingEmptyResult,Chrome 71.0.3578.98,,2019-02-05 02:06:55,2019-02-05 02:08:16,1m - 20.564s,PASSED
,,,,,,
Test Cases/BasicSearch/3.1/Validating_empty_result_on_search,Chrome 71.0.3578.98,,2019-02-05 02:06:56,2019-02-05 02:08:15,1m - 19.822s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-05 02:06:56,2019-02-05 02:07:14,17.876s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-05 02:07:14,2019-02-05 02:07:16,2.166s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Chrome 71.0.3578.98,,2019-02-05 02:07:16,2019-02-05 02:08:02,45.440s,PASSED
"click(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""))",Chrome 71.0.3578.98,,2019-02-05 02:08:02,2019-02-05 02:08:04,2.256s,PASSED
"setText(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""), ""Lawless"")",Chrome 71.0.3578.98,,2019-02-05 02:08:04,2019-02-05 02:08:09,4.553s,PASSED
"sendKeys(findTestObject(""2.2/Page_Home - ADX Asia/input_Home_search__input__sear""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-02-05 02:08:09,2019-02-05 02:08:11,2.125s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-05 02:08:11,2019-02-05 02:08:13,2.060s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-02-05 02:08:13,2019-02-05 02:08:15,2.597s,PASSED
