Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SearchResultPage,Chrome 71.0.3578.98,,2019-02-05 02:06:11,2019-02-05 02:08:16,2m - 5.061s,PASSED
,,,,,,
Test Cases/BasicSearch/2.1/Search_result_page,Chrome 71.0.3578.98,,2019-02-05 02:06:13,2019-02-05 02:08:15,2m - 1.734s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-05 02:06:14,2019-02-05 02:06:58,43.115s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-05 02:06:58,2019-02-05 02:07:00,2.397s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Chrome 71.0.3578.98,,2019-02-05 02:07:00,2019-02-05 02:07:54,54.240s,PASSED
"click(findTestObject(""1.1/Page_Home - ADX Asia/input_Search_bar""))",Chrome 71.0.3578.98,,2019-02-05 02:07:54,2019-02-05 02:07:58,3.761s,PASSED
"setText(findTestObject(""1.1/Page_Home - ADX Asia/input_Search_bar""), ""Bebek"")",Chrome 71.0.3578.98,,2019-02-05 02:07:58,2019-02-05 02:08:05,7.519s,PASSED
"sendKeys(findTestObject(""1.1/Page_Home - ADX Asia/input_Search_bar""), Keys.chord(ENTER))",Chrome 71.0.3578.98,,2019-02-05 02:08:05,2019-02-05 02:08:09,3.597s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-05 02:08:09,2019-02-05 02:08:11,2.062s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-02-05 02:08:11,2019-02-05 02:08:15,3.604s,PASSED
