Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuites_2,Chrome 71.0.3578.98,,2019-02-01 18:19:32,2019-02-01 18:20:40,1m - 7.169s,PASSED
,,,,,,
Test Cases/Registration_Page/Email_Registration/1.2/verify_user_signin_email_account,Chrome 71.0.3578.98,,2019-02-01 18:19:33,2019-02-01 18:20:40,1m - 6.828s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-01 18:19:33,2019-02-01 18:19:44,10.939s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-01 18:19:44,2019-02-01 18:19:46,2.144s,PASSED
"navigateToUrl(""https://staging.adxasia.co.id/"")",Chrome 71.0.3578.98,,2019-02-01 18:19:46,2019-02-01 18:19:57,10.508s,PASSED
"click(findTestObject(""1.1/Page_Home - ADX Asia/li_Sign In""))",Chrome 71.0.3578.98,,2019-02-01 18:19:57,2019-02-01 18:19:59,2.232s,PASSED
"setText(findTestObject(""1.1/Page_Home - ADX Asia/input_email""), ""mulkimul16@gmail.com"")",Chrome 71.0.3578.98,,2019-02-01 18:19:59,2019-02-01 18:20:04,4.899s,PASSED
"setEncryptedText(findTestObject(""1.1/Page_Home - ADX Asia/input_Email_error""), ""mn5hRviTc1hO3f41WUkJsA=="")",Chrome 71.0.3578.98,,2019-02-01 18:20:04,2019-02-01 18:20:07,3.286s,PASSED
"click(findTestObject(""1.1/Page_Home - ADX Asia/button_Sign in""))",Chrome 71.0.3578.98,,2019-02-01 18:20:07,2019-02-01 18:20:09,2.094s,PASSED
"click(findTestObject(""1.2/Page_Home - ADX Asia/button_Sign in with Google""))",Chrome 71.0.3578.98,,2019-02-01 18:20:09,2019-02-01 18:20:13,3.434s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-01 18:20:13,2019-02-01 18:20:15,2.149s,PASSED
"switchToWindowTitle(""Masuk - Akun Google"", STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-02-01 18:20:15,2019-02-01 18:20:24,9.456s,PASSED
"setText(findTestObject(""1.2/Page_Masuk - Akun Google/input_gmail_account""), ""mulkimul16@gmail.com"")",Chrome 71.0.3578.98,,2019-02-01 18:20:24,2019-02-01 18:20:29,4.447s,PASSED
"click(findTestObject(""1.2/Page_Masuk - Akun Google/span_Berikutnya""))",Chrome 71.0.3578.98,,2019-02-01 18:20:29,2019-02-01 18:20:31,2.298s,PASSED
"setEncryptedText(findTestObject(""1.2/Page_Masuk - Akun Google/input_password""), ""14n9+UJqs0woiBvwapmKLg=="")",Chrome 71.0.3578.98,,2019-02-01 18:20:31,2019-02-01 18:20:34,3.197s,PASSED
"click(findTestObject(""1.2/Page_Masuk - Akun Google/span_Berikutnya""))",Chrome 71.0.3578.98,,2019-02-01 18:20:34,2019-02-01 18:20:36,2.127s,PASSED
waitForPageLoad(3),Chrome 71.0.3578.98,,2019-02-01 18:20:36,2019-02-01 18:20:37,1.199s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-02-01 18:20:37,2019-02-01 18:20:40,2.116s,PASSED
